start_year,generation,median_age
1937,Lost,45.9876796714579
1939,Lost,46.8939082819986
1941,Lost,48.703627652293
1943,Lost,50.40246406570845
1945,Lost,52.40383299110195
1947,Lost,53.9548254620123
1949,Lost,55.7234770704997
1951,Lost,56.4325804243669
1953,Lost,58.2861054072553
1955,Greatest,45.99315537303215
1957,Greatest,47.2936344969199
1959,Greatest,47.4715947980835
1961,Greatest,48.5722108145106
1963,Greatest,49.2676249144422
1965,Greatest,49.8699520876112
1967,Greatest,51.0321697467488
1969,Greatest,52.7474332648871
1971,Greatest,54.3997262149213
1973,Greatest,54.3230663928816
1975,Greatest,55.0499657768652
1977,Greatest,56.4202600958248
1979,Silent,43.0636550308008
1981,Silent,44.4845995893224
1983,Silent,45.67830253251195
1985,Silent,47.4524298425736
1987,Silent,49.2621492128679
1989,Silent,50.93497604380565
1991,Silent,53.0075290896646
1993,Silent,54.354551676933596
1995,Silent,56.104038329911
1997,Silent,57.51676933607121
1999,Silent,59.17864476386035
2001,Boomer,48.554414784394254
2003,Boomer,50.280629705681
2005,Boomer,52.2819986310746
2007,Boomer,53.9876796714579
2009,Boomer,55.5126625598905
2011,Boomer,56.6365503080082
2013,Boomer,58.1013004791239
2015,Boomer,59.75906913073235
2017,Boomer,61.4866529774127
2019,Boomer,63.4852840520192
2021,Boomer,65.0431211498973
2023,Boomer,66.3271731690623
